text,id
"Any adult, regardless of age or health, needs a will.",3_64_1
"Matt Maggio, I don't.",3_65_1
Dang,3_66_1
Drugs?,3_67_1
Angry lover?,3_67_2
Private loan unpaid?,3_67_3
"Fascinating, the lack of information in news reports.",3_67_4
Joel Steinberg …it was a fire.,3_68_1
Joel Steinberg Maybe satisfying morbid curiosity isn’t the intention of this obituary.,3_69_1
Jacqueline Macauley morbid?,3_70_1
Just curious.,3_70_2
Jeff Frederick fires only kill if allowed to.,3_71_1
It was a Covid fire so mark it down for Covid.,3_72_1
"Alsoooo, if he was wearing a mask he would have been ok, right lefties?",3_72_2
Jen Born,3_73_1
https://themarshallreport.wordpress.com/.../sidney.../...,3_74_1
He was one of the good ones.,3_75_1
Wonder how many children he sacrificed?,3_76_1
"Just saying alot of these CEOs from big companies ""stepped down"" = arrested for crimes against humanity.",3_76_2
They all had to sell their souls to Satan to make it big.,3_76_3
Google any CEO of any Big Corporation or Bank!,3_76_4
Erin Marie James,3_77_1
Erin Marie James nobody cares what a trumptard thinks,3_78_1
Erin Marie James calm your tits karen,3_79_1
Erin Marie James wow.,3_80_1
You people are deranged.,3_80_2
what  a  TERRIBLE  thing  to  say !,3_81_1
Erin Marie James go back on your meds.,3_82_1
https://fortune.com/2015/05/05/14-longest-serving-ceos/,3_83_1
Such a tragedy.,3_84_1
What an incredible legacy he has left.,3_84_2
Prayers for his family and friends.,3_84_3
House fire...how awful,3_85_1
"We went to the same high school, he was a year ahead of me.",3_86_1
"Such a nice guy, this is terrible.",3_86_2
Wow are you sure he didn’t died of Covid-19 need to facts to be posted hello,3_87_1
And i should care?,3_88_1
Joshua Langham you are kind of a jerk.,3_89_1
If it one of your friends or family how would you feel?,3_89_2
Jacquelyn Brickman Probably the same way Karl Marx felt about his mom and wife's deaths...,3_90_1
I bet the death certificate says he died from covid19,3_91_1
Joshua Langham #brokeninside,3_92_1
Joshua Langham Why would it say that?,3_93_1
Jeff Frederick Because the Left lies!,3_94_1
Jeff Frederick Why would anyone who died in a motorcycle accident have their death attributed to covid19?… See More,3_95_1
Joshua Langham youre a truly monstrous being.,3_96_1
Joshua Langham What does a motorcycle accident in Florida have to do with a fire in Connecticut?,3_97_1
"Patrick Peacock What's ""the Left"" and what do they have to do with this?",3_98_1
N Jacqueline O'Hara Thank you.,3_99_1
Now do Bill Gates,3_99_2
N Jacqueline O'Hara Now do Tim Cook... Tim Cook has slave factories in China.,3_100_1
Do Tim Cook now,3_100_2
Jeff Frederick WhAtS tHe lEfT,3_101_1
Jeff Frederick Maybe because if someone in your clinic is diagnosed woth covid19 you get $13k?,3_102_1
Nah...,3_102_2
I'm sure absolutelt ZERO doctors would fudge a diagnosis for $13k...,3_102_3
I'm such an idiot for thinking people would lie for money.,3_102_4
Sad may he rip i hope he didnot suffer,3_103_1
How tragic,3_104_1
"[""Hours before President Trump announced that the U.S. was leaving the World Health Organization, his ambassador in Geneva delivered a list of seven demands.",5_0_1
"Here's what the administration wanted.""]",5_0_2
Like a spoiled child with a book of matches he will try and set the world  on fire before he leaves the white house.,5_1_1
Bryan Bolkcom an Iranian nuclear professional has been asassinated today.,5_2_1
Most probably with the help of the US and Israel.,5_2_2
Trump has always wanted a war against Iran.,5_2_3
Isabelle Amber I'm so happy to be out of the US  for the next few months.,5_3_1
And I pray for all of us that we can get clear of trump without a major incident.,5_3_2
"Isabelle Amber well, we should be careful of believing more conspiracies.",5_4_1
I hope that’s not the case but trump is nuts enough to do anything for attention,5_4_2
Isabelle Amber YUP and many of us in the United States are painfully aware of that.,5_5_1
Just not enough of us.,5_5_2
"Republicans don't care, they continue to prop up the military industrial complex.",5_5_3
Not to mention pulling out of Germany giving the Russians acces… See More,5_5_4
Nanci Hemingway Trump has basically sold US foreign policy from day one.,5_6_1
"Sold it to the highest bidder: Russia, the Suadis, Turkey and no doubt Israel.",5_6_2
Pompeo on his overseas trip was obviously up to something.,5_6_3
Trump has always wanted a war with Iran.… See More,5_6_4
https://www.google.com/.../trump-iran-nuclear.amp.html,5_7_1
Bryan Bolkcom In reality Tish James NY AG is the one with the FIRE and tRump will get burned.,5_8_1
"He’s leaving, who cares?",5_9_1
Mark Viola He can do tons of damage before he goes.,5_10_1
Mark Viola  but threatening to run 2024,5_11_1
"Eileen Smyth  he won't run, he'll get bored in 2 years and he can't run after doing the damage!",5_12_1
I care...and so will history.,5_13_1
"Close to 265,000 people have died in under a year.",5_13_2
Hell yes I care!,5_13_3
Rebecca Comeau  That’s not what I meant.,5_14_1
I’m just saying he’s a lame duck and we shouldn’t give him the attention.,5_14_2
Attention gives him power.,5_14_3
I agree with you 100%.,5_14_4
He’s been a disaster.,5_14_5
Then why comment of you don't care,5_15_1
Have you seen Sidney Powell’s evidence that is so good twitter blocked it?,5_16_1
President elect Donald Trump.,5_16_2
"Mark Viola  Sometimes in life you have to always do what you are afraid to do because it might turn out to be the best decision, trading has never serve me right until I came across Mrs Juliet Opara who changed my life for the better, I never new that … See More",5_17_1
Rebecca Comeau me too heshould be changed with murder against humanity.,5_18_1
Eileen Smyth he is attempting to destroy the United States from within..,5_19_1
Can’t wait till he’s gone!,5_20_1
Jackie Dearth Landry in more ways than one.,5_21_1
Jackie Dearth Landry you'll be sorry when the Communist takeover under Joe Pedophile Biden,5_22_1
The great negotiator strikes again!,5_23_1
It's never been about the health of the country or its people.,5_24_1
It's always about him and his grifting family.,5_24_2
Jerald Armstrong what has his family “grifted” from you?,5_25_1
Mary Lou White Hughes how about billions of dollars?,5_26_1
Mary Lou White Hughes Hi Mary.,5_27_1
There's this thing called Google.,5_27_2
Use it.,5_27_3
Mary Lou White Hughes how about my tax money so he can go to Scotland and other places and play golf,5_28_1
Mary Lou White Hughes,5_29_1
Jerald Armstrong when and if Biden gets in you and many Americans will be out of work.,5_30_1
That bonehead Biden will be in a nursing home and that laughing hyena Harris will never have any idea how to run our country.,5_30_2
She'll destroy America along with her S… See More,5_30_3
Mary Lou White Hughes Who are you kidding they’ve all made millions from being in this administration and probably not legally !,5_31_1
Kim Rodrigues you are either a troll or one of the uneducated Trump loves and the whole content of your post is BS.,5_32_1
"Kim Rodrigues so much IGNORANCE, stupidity, blindness or brainwashing has occurred.",5_33_1
Mary Lou White Hughes well there are the 6 corporate BK's he filed that we taxpayers picked up the tab for and that's just the start.,5_34_1
But it's not like any of you fully indoctrinated and delusional IQ45 cult members would understand anything about that… See More,5_34_2
Andre Mendes  If you show proof I might believe you ..I've got time..Trump robbed a Veterans charity ..He's been a crook all his life .,5_35_1
Mary Lou White Hughes how about his “friends” benefiting from his presidency making millions of dollars,5_36_1
"Mary Lou White Hughes any sign of integrity or respect, that’s a grifter",5_37_1
Mary Lou White Hughes how about the campaign money,5_38_1
"Mary Lou White Hughes and how’s about the “overturn the election” fundraising, almost none of which is going toward the stated purpose?",5_39_1
Kim Rodrigues  The party of hate ..You better look out ...You might blow a fuse or a head gasket..Ease up it's not good for your health,5_40_1
Jerald Armstrong TRUTH!!!!!!!!,5_41_1
The reason for my angry emoji.,5_41_2
NEVER for our country.,5_41_3
Mary Lou White Hughes my tax dollars to pay his kids salaries because they work in the White House?,5_42_1
Only dictators do that BTW.,5_42_2
Mary Lou White Hughes - I can’t wait until this corrupt swamp creator is removed from the Oval Office!,5_43_1
"IRS Chief Makes More Than $100,000 Per Year Off Trump Property, Documents Show.",5_43_2
https://www.google.com/amp/s/www.forbes.com/sites/alisondurkee/2020… See More,5_43_3
Mary Lou White Hughes educate yourself.,5_44_1
It's a quick search.,5_44_2
Start here:Is Trump a grifter?… See More,5_44_3
Mary Lou White Hughes are you on a deserted island somewhere?,5_45_1
Mary Lou White Hughes  Tax dollars when ever the opportunity presented itself.,5_46_1
Mary Lou White Hughes to - the American people,5_47_1
"Jerald Armstrong That´s the problem- ""They"" do use it ,but just pick out the alternative facts that suit their own narrative.",5_48_1
Alisa Sparkia Moore that hair sniffer with Dementia will be in a nursing home soon.,5_49_1
Jerald Armstrong grifting ??,5_50_1
You have the wrong guy.,5_50_2
Biden is in the top 10 of grifters.,5_50_3
"More to come, I’m sure.",5_50_4
"Kim Rodrigues the soothsayer speaks, but she put her faith in tRump, so there’s that.",5_51_1
Kim Rodrigues let’s speak facts not fox,5_52_1
Kim Rodrigues what about your rapist president.,5_53_1
True fact.,5_53_2
Mary Lou White Hughes WE HAVE NEITHER THE TIME NOR THE CRAYONS TO EXPLAIN IT TO YOU!,5_54_1
Kim Rodrigues sorry for your lossSee you at Joe's innaguration!Good times!,5_55_1
"Mary Lou White Hughes - Donald Trump, who ran his casino business into the ground but pocketed millions himself, is now doing the same thing to America.",5_56_1
"He is running us into the ground, while lining his own pockets!",5_56_2
Trump is nothing but a con artist a… See More,5_56_3
Kim Rodrigues  Why don’t you join Parler?,5_57_1
They have people there just like you!,5_57_2
Kim Rodrigues turn off oann and go outside.,5_58_1
Kim Rodrigues You are soooo uninformed.,5_59_1
Drinking the koolaid does that.,5_59_2
PATHETIC and MANIPULATED you,5_59_3
Lela McMullen Obama put kid in cages don't U remember,5_60_1
Joe Monaco open your eyes please.,5_61_1
Donald Trump has lost the race and slid downhill into the cesspool swamp he failed to drag.,5_61_2
Did he do anything he promised?.,5_61_3
.....   just open your eyes,5_61_4
Kim Rodrigues don't worry about what they say.,5_62_1
"The people degrading you voted a dementia patient in to run our country, and an admitted Marxist to help him.",5_62_2
Yes she has admitted to be a Marxist supporter.,5_62_3
Lela McMullen Yes the Obama administration really did that.,5_63_1
Unreal isn't it?,5_63_2
She’s in FL so....,5_64_1
He has helped Americans more than all the other Presidents in the last 50 years combined.,5_65_1
Democrats are parasitic trash and a money laundering and extortion criminal enterprise .,5_65_2
"How about you just f off n dle, lying pos",5_65_3
Jerald Armstrong Then you did not read this article.,5_66_1
You should.,5_66_2
Educate yourself.,5_66_3
Jerald Armstrong you said that right,5_67_1
"Johnny HiFi watching CNN and the View isn't good for ya, it's fiction",5_68_1
Jerald Armstrong.,5_69_1
"Yes,",5_69_2
Johnny HiFi https://www.businessinsider.com/migrant-children-in-cages...,5_70_1
Thomas Giezey troll,5_71_1
Jerald Armstrong yep,5_72_1
Mary Lou White Hughes our long history of tax stored dollars.,5_73_1
Unhinged.,5_74_1
"We have a lot of work to do repair our relationships with the rest of the world, as well as in the U.S.  January 20th can’t come fast enough.",5_74_2
and that will be very costly.,5_75_1
Many deals that were unbalanced in favor of the USA will now have to be renegotiated with a world that won't give you nearly as much diplomatic credit as in decades before.,5_75_2
Hilary Willis true but the new administration needs to be careful not to give away the farm(so to speak) to repair those relationships.,5_76_1
Otherwise we will be screwed in many other ways.,5_76_2
Michelle Frayne-Elmquist We won't.,5_77_1
President Elect BIDEN and his new qualified administration will proceed cautiously.,5_77_2
Trust them!,5_77_3
Hilary Willis And yet there are an estimated 90 million cult followers left.... we must  remain vigilant...,5_78_1
"Gabriele Auerbach yes, it terrifies me.",5_79_1
Charmaine Ka-ipo I hope so.,5_80_1
I just don’t blindly put my faith in any leader or politicians.,5_80_2
That is part of what causes many of the problems in our country.,5_80_3
"Blind faith in candidate and or party, like it is some kind of religion.",5_80_4
Nobody sees the fla… See More,5_80_5
"Michelle Frayne-Elmquist, oh I agree completely!",5_81_1
Michelle Frayne-Elmquist a large part of the world outside the US always thought America is great.,5_82_1
You were mesmerized by this strange campaign.,5_82_2
The world welcomes you back,5_82_3
Michelle Frayne-Elmquist Blindly following sounds more like the old admin.,5_83_1
Thank God!,5_83_2
the beginnings of democracy will come back slowly but surely.,5_83_3
Hilary Willis unhinged to very end,5_84_1
Hilary Willis agreed,5_85_1
Hilary Willis -Did you read the article?,5_86_1
All of President Trump's demands were totally reasonable.,5_86_2
Other countries agreed with a lot of them.,5_86_3
The WHO was allowing China to run their agency.,5_86_4
"Alegria Silverbirch unfortunately I see dems do it as well, and refuse to compromise.",5_87_1
Hilary Willis  udon has the communist countries under control.,5_88_1
They all wanted him as president so they can manipulate the United States more.,5_88_2
Brian A. Richards yeah,5_89_1
"Michelle Frayne-Elmquist The Republican Senate has been so obstinate during the ""Trump Reign"".",5_90_1
I was plenty pissed off with McConnell and his gang.,5_90_2
I have never seen such unconstitutional antics!!,5_90_3
and I have seen all presidents since Eisenhower.,5_90_4
Never … See More,5_90_5
Kathy Dye  why with him must it always be demands and all or nothing?,5_91_1
This is why even when he does have some good points they are overshadowed or ignored because if his utter arrogance.,5_91_2
"Plus right now, the US is not exactly a leader in the health an… See More",5_91_3
Hilary Willis It’s my hope the rest of the world knows that Trump was a speed bump.,5_92_1
An aberration.,5_92_2
The electorate has kicked him to the kerb and the world is grateful and will work with President Biden.,5_92_3
Michelle Frayne-Elmquist -Americans are individuals.,5_93_1
"We do not take orders that diminish our rights, lying down.",5_93_2
Kathy Dye it’s called compromise.,5_94_1
The US needs to stop thinking we control the world.,5_94_2
We cannot even figure out how to compromise with eachother.,5_94_3
Your attitude is what continues to contribute to our internal problems.,5_94_4
Me me me what’s in it for me.,5_94_5
"Michelle Frayne-Elmquist -My college World History professor told us that the man who pays the fiddler, calls the dance.",5_95_1
We paid a lot more than the rest of the world to support the WHO.,5_95_2
"When the WHO decided they needed to kiss China's behind, they s… See More",5_95_3
"Vicki Shelley -BTW, I think you meant ""curb"".",5_96_1
Your attitude is why the rest of the world has been standing back and letting Americans pay all of the bills and then be treated like we have no right to a say in how it is spent.,5_96_2
We have a lot to work?,5_97_1
What have you ever done?,5_97_2
He doesn't deserve anything less than the rest of his life in Leavenworth.,5_98_1
Jesse Munoz absolutely Joe Biden needs a cell immediately.,5_99_1
We can not allow someone to sell access to an administration and quite possibly classified information and get away with it.,5_99_2
Jesse Munoz 4+ years of harassment Or as the media calls them investigations.,5_100_1
And no evidence of any crimes.,5_100_2
The whole Biden family is nothing but a crime syndicate.,5_100_3
Their is actual witnesses with actual evidence.,5_100_4
Low information voters would have a ha… See More,5_100_5
Jesse Munoz agreed,5_101_1
"Adam Faust Hey, if he is found guilty as charged on a many counts as I'm positive 45 will be... Sure.",5_102_1
"But until then let's just focus on your lord and savior, Trump.",5_102_2
Ruby Carnes Downie The trouble with Liberals is they see corruption everywhere.,5_103_1
Unfortunately for them they think they are looking out a window when they are actually looking in a mirror.,5_103_2
Adam Faust is a Russkie troll,5_104_1
"Jesse Munoz Or in GUANTANAMO, EITHER WILL DO.",5_105_1
Adam Faust for what?,5_106_1
Adam Faust  What???,5_107_1
What complete nonsense!,5_107_2
Jesse Munoz agreed.,5_108_1
Jesse Munoz,5_109_1
"Ralph Lucas that is the stupidest statement ever, show me a country without losses, maybe China should be charged.",5_110_1
Jesse Munoz yes,5_111_1
Jesse Munoz I guess we should imprison the leader of every country in the world then.,5_112_1
Stop repeating moronic leftist rhetoric without thinking about it at least for a moment!,5_112_2
Jesse Munoz so does Biden for selling out our country to China.,5_113_1
Adam Faust you're talking about trump.,5_114_1
Wake up.,5_114_2
Cathy Speirs It's only moronic to cult members.,5_115_1
Adam F,5_116_1
"Jesse Munoz,  yes!",5_117_1
Adam Faust number one im not a liberal.,5_118_1
Number two get you're head out of the sand.,5_118_2
Cathy Speirs everyone who voted for  Biden isn't a Democrat.,5_119_1
Every one else can see what trump is about.,5_119_2
Why can't his voters.,5_119_3
"Jesse Munoz There you go again parroting foul, insulting rhetoric.",5_120_1
Ruby Carnes Downie because we love our country and DO NOT WANT SOCIALISM!!!!,5_121_1
"Cathy Speirs Newsflash, it's been here for sometime.",5_122_1
I'm amazed you're not used to it.,5_122_2
Socialism that is.,5_122_3
"Trump loves it, just look at how much bancruptcy court saved his a$$.",5_122_4
Cathy Speirs they are just scaring people.,5_123_1
If I  had any doubt about it.,5_123_2
I  would tell you or anyone else.,5_123_3
They should look up what Socialism is  about in our country.,5_123_4
When anyone  is  trying too win.,5_123_5
They throw out the scary  stuff.,5_123_6
It's  nothing… See More,5_123_7
"Adam Faust We can go line for line on substantiated, investigated and even convicted, and see what's what if you want.",5_124_1
You trumpistas have a very short memory apparently.,5_124_2
Jesse Munoz corrupt Biden should not allowed to White House,5_125_1
Kamal Pokhrel,5_126_1
Jesse Munoz Who.,5_127_1
Joe or Hunter?,5_127_2
John Karras Who was the subject of the article?,5_128_1
Jesse Munoz lots of Dem crimes.,5_129_1
They just get away with it.,5_129_2
"Media, tech cos. CIA, FBI are all wrapped around their little fingers.",5_129_3
To him everything is win or lose.The concept of a mutually beneficial arrangement is something he cannot imagine.More than anything else this may be one of the core reasons he was such a bad choice for the position of president.,5_130_1
"John Cutler narcissists don’t negotiate, they demand.",5_131_1
"When they don’t get what they want, they throw tantrums and cause other problems regardless of the long term impact.",5_131_2
"Abrupt, Irrational decisions have no place in government office.",5_131_3
"John Cutler The problem goes even deeper: he is only interested in appearances (of winning, of wealth, of being a business man etc.)",5_132_1
and not in realities.,5_132_2
"This makes him not just a destructive president, but a bad businessman, incapable of striking dea… See More",5_132_3
Catherine Hoffa he’s a classic example!,5_133_1
John Cutler do you know President Trump personally?,5_134_1
"Catherine Hoffa, like Pelosi, Schumer and the Squad.",5_135_1
What a leftist tool you are.,5_135_2
John Cutler Pt Barnum would LOVE you!,5_136_1
David Cornelison PT Drumpfum DOES love you!,5_137_1
John Cutler and everything for himself.,5_138_1
Never the country first.,5_138_2
John Cutler and he wasn’t the “choice” of most voters.,5_139_1
Lilia C White the country always comes first with President Trump.,5_140_1
Biden will put China and illegal immigrants first.,5_140_2
Good thing Biden will not be President.,5_140_3
Marcia Lynne the joke of the day,5_141_1
Marcia Lynne thank God he will be gone soon,5_142_1
"John Cutler Thrift Don't depend on your salary onlyif you have a Gmail account,computer or smartphones,you can start earning $1,000 daily and $10,000 weekly,without #sending_money to anyone #JOIN_NOW for more details https://www.fac… See More",5_143_1
Steve O'Leary you must be right!,5_144_1
Your comments have taught us all so much!,5_144_2
Steve O’LearyOver and over I have seen Trump’s idea of dealing.,5_145_1
He says he will compromise.,5_145_2
Then demands everything his way.,5_145_3
Then blames Democrats for not being willing to negotiate.,5_145_4
"And one of the main concepts his cult members adore in him, because they feel the same",5_146_1
"Marcia Lynne with more unemployed, in poverty, losing everything than ever recorded in US history is putting us first?",5_147_1
"He tried to make ""deals"" with the left?O please do elaborate.This ought to be good.",5_148_1
Catherine Hoffa - an interesting article about when narcissists fail!https://www.psychologytoday.com/.../when-the-narcissist...,5_149_1
Marcia Lynne - yes Marcia....we all believe you.,5_150_1
Now go to your quiet place and calm down!,5_150_2
Agree.,5_151_1
Marcia Lynne please back that up_I’ll be waiting!,5_152_1
"John Cutler, yeah he did azzhole.",5_153_1
Many many times.,5_153_2
"Do you ever actually research anything Cutler or are you just a one trick political pony that plays a guitar.To be honest, musicians are actually the dumbest people I have ever met.",5_153_3
Ooo..,5_154_1
"I'm crestfallen.You've stunned me with your razor intellect.However, I won't be going to your page to see what it is that you do with yourself.… See More",5_154_2
"..and you still have not given any examples.If you make the claim, it is on you to back it up.",5_155_1
Give examples of where he has not pissant.,5_156_1
Trump has made multiple attempts during this pandemic to make deals with the democrats concerning stimulus packages.,5_157_1
I'm not going to break down every one for your tiny little guitar and pot reduced brain.,5_157_2
Michael Bryan Everyone loves me.,5_158_1
I'm adorable!,5_158_2
"Steve, you're really cracking me up here.I hope that you have had a wonderful Thanksgiving.I think I'm probably done here.… See More",5_159_1
"..and I like your dog in the picture, I've got one much the same.",5_160_1
Lilia C White lol,5_161_1
Charlene Moneypenny FO,5_162_1
Marcia Lynne do you?,5_163_1
John Cutler - he made this pointedly clear long before he ran for President - several times.And idiots still voted for him,5_164_1
John Cutler with biden there will only be one mutually beneficial arrangement and that will be what he B I den  tells you it will be.,5_165_1
John Cutler  True.,5_166_1
John Cutler exactly.,5_167_1
"A wise Leader, a wise President would understand “cooperative” efforts on behalf of World Leaders, makes our worldSafer and more successful during these very difficult times.",5_167_2
John Cutler  Hes a disgrace,5_168_1
Trump is a one-trick pony(my way or hit the highway).,5_169_1
"He never figured out how to govern, nor did he care to.",5_169_2
"Alegria Silverbirch , this is spot on.",5_170_1
Martha Hoffman thanks Martha.,5_171_1
"Alegria Silverbirch , so welcome.",5_172_1
So true.,5_172_2
Didn’t he promise to disappear if he lose the election?,5_173_1
"Nemy Vargas he won..stop the lying, cheating.",5_174_1
Gitmo is waiting,5_174_2
Joan Casari stop with your lies and your fascist dictator’s lies.,5_175_1
Stop watching Faux and OAN.,5_175_2
Read; you might be surprised what you can learn.,5_175_3
"At the very least, take a chance and read something new.",5_175_4
Joan Casari yes I can't wait to see how many of your proud boys earn a room at the fine establishment,5_176_1
Nemy Vargas yer his crazy supporters are going through withdrawals.,5_177_1
They’re all codependent and need to have some connection to trump to get their fix,5_177_2
Joan Casari I have this bridge to sell.,5_178_1
"You must act quick, the Dems are trying to steal it.",5_178_2
